"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2023","246.10","244.00","248.20","241.60","66.22K","0.94%"
"Jul 20, 2023","243.80","244.00","255.00","240.60","124.37K","-0.08%"
"Jul 19, 2023","244.00","243.70","251.40","241.30","120.41K","0.12%"
"Jul 18, 2023","243.70","241.90","247.90","231.90","233.69K","0.74%"
"Jul 17, 2023","241.90","249.90","254.40","236.10","207.01K","-3.20%"
"Jul 16, 2023","249.90","253.40","261.30","248.10","198.99K","-1.38%"
"Jul 15, 2023","253.40","264.10","264.10","247.10","172.90K","-4.05%"
"Jul 14, 2023","264.10","274.20","277.70","256.00","325.98K","-3.68%"
"Jul 13, 2023","274.20","282.20","291.30","268.90","424.67K","-2.83%"
"Jul 12, 2023","282.20","273.80","293.10","272.70","285.44K","3.07%"
"Jul 11, 2023","273.80","274.60","277.30","270.60","132.72K","-0.29%"
"Jul 10, 2023","274.60","265.70","287.20","260.30","371.76K","3.35%"
"Jul 09, 2023","265.70","272.00","278.50","262.80","173.23K","-2.39%"
"Jul 08, 2023","272.20","278.50","282.90","262.20","219.89K","-2.26%"
"Jul 07, 2023","278.50","275.30","288.90","272.60","399.54K","1.16%"
"Jul 06, 2023","275.30","271.50","303.30","268.40","810.66K","1.40%"
"Jul 05, 2023","271.50","272.20","278.20","249.60","495.53K","-0.26%"
"Jul 04, 2023","272.20","292.70","293.00","271.50","278.41K","-7.00%"
"Jul 03, 2023","292.70","299.00","302.30","280.00","387.42K","-2.11%"
"Jul 02, 2023","299.00","291.30","307.10","268.90","804.15K","2.71%"
"Jul 01, 2023","291.10","304.20","309.70","281.20","540.77K","-4.31%"
"Jun 30, 2023","304.20","253.10","327.50","252.30","1.71M","20.19%"
"Jun 29, 2023","253.10","225.10","255.20","224.20","711.13K","12.44%"
"Jun 28, 2023","225.10","229.70","236.10","221.00","732.75K","-2.00%"
"Jun 27, 2023","229.70","223.30","238.70","216.80","727.07K","2.87%"
"Jun 26, 2023","223.30","194.70","229.30","188.10","926.25K","14.69%"
"Jun 25, 2023","194.70","212.60","217.90","186.80","689.92K","-8.42%"
"Jun 24, 2023","212.60","181.90","220.00","179.70","1.00M","16.88%"
"Jun 23, 2023","181.90","133.60","192.60","133.50","786.94K","36.15%"
"Jun 22, 2023","133.60","136.00","148.90","129.80","323.31K","-1.76%"
"Jun 21, 2023","136.00","110.00","139.50","109.70","541.42K","23.64%"
"Jun 20, 2023","110.00","106.80","110.60","105.20","39.29K","3.00%"
"Jun 19, 2023","106.80","106.90","107.30","104.90","22.94K","-0.09%"
"Jun 18, 2023","106.90","106.70","108.80","105.80","34.26K","0.19%"
"Jun 17, 2023","106.70","108.10","108.50","106.20","20.63K","-1.30%"
"Jun 16, 2023","108.10","104.90","109.30","102.90","19.76K","3.05%"
"Jun 15, 2023","104.90","101.70","105.10","101.70","29.18K","3.15%"
"Jun 14, 2023","101.70","105.40","106.30","100.80","24.60K","-3.51%"
"Jun 13, 2023","105.40","102.70","106.60","102.20","31.05K","2.63%"
"Jun 12, 2023","102.70","102.80","104.20","100.80","20.12K","-0.10%"
"Jun 11, 2023","102.80","103.50","103.60","101.60","28.57K","-0.68%"
"Jun 10, 2023","103.50","110.80","111.00","91.50","144.67K","-6.59%"
"Jun 09, 2023","110.80","111.80","112.10","109.70","25.53K","-0.89%"
"Jun 08, 2023","111.80","111.20","112.40","110.40","17.12K","0.54%"
"Jun 07, 2023","111.20","114.90","116.70","110.10","53.08K","-3.22%"
"Jun 06, 2023","114.90","108.80","115.00","107.50","50.09K","5.61%"
"Jun 05, 2023","108.80","115.70","115.70","107.00","61.04K","-5.96%"
"Jun 04, 2023","115.70","114.90","117.00","114.10","36.26K","0.70%"
"Jun 03, 2023","114.90","114.90","115.30","114.20","15.20K","0.00%"
"Jun 02, 2023","114.90","113.40","115.30","112.90","27.53K","1.32%"
"Jun 01, 2023","113.40","113.20","113.50","111.70","19.19K","0.18%"
"May 31, 2023","113.20","113.90","114.30","112.10","34.31K","-0.61%"
"May 30, 2023","113.90","114.90","115.70","113.90","29.79K","-0.87%"
"May 29, 2023","114.90","116.50","117.30","114.60","36.47K","-1.37%"
"May 28, 2023","116.50","113.80","116.80","113.70","20.74K","2.37%"
"May 27, 2023","113.80","113.20","114.10","112.40","11.82K","0.53%"
"May 26, 2023","113.20","112.00","113.80","111.50","17.76K","1.07%"
"May 25, 2023","112.00","112.10","112.30","109.60","21.04K","-0.09%"
"May 24, 2023","112.10","115.70","115.70","111.30","35.46K","-3.11%"
"May 23, 2023","115.70","114.70","117.20","114.70","23.33K","0.87%"
"May 22, 2023","114.70","114.60","115.20","113.00","28.26K","0.09%"
"May 21, 2023","114.60","116.50","117.10","113.80","13.95K","-1.63%"
"May 20, 2023","116.50","115.60","117.00","114.60","17.19K","0.78%"
"May 19, 2023","115.60","115.40","116.10","114.60","17.72K","0.17%"
"May 18, 2023","115.40","118.00","118.00","112.90","31.71K","-2.20%"
"May 17, 2023","118.00","116.70","118.70","115.40","40.41K","1.11%"
"May 16, 2023","116.70","116.10","117.50","114.00","24.18K","0.52%"
"May 15, 2023","116.10","115.20","120.70","114.50","77.75K","0.78%"
"May 14, 2023","115.20","113.00","116.00","112.90","27.03K","2.04%"
"May 13, 2023","112.90","114.70","114.90","112.50","21.07K","-1.57%"
"May 12, 2023","114.70","113.30","115.50","112.60","43.36K","1.24%"
"May 11, 2023","113.30","115.80","115.80","110.70","47.59K","-2.16%"
"May 10, 2023","115.80","122.10","123.20","112.20","154.58K","-5.16%"
"May 09, 2023","122.10","111.10","123.60","110.20","235.42K","9.90%"
"May 08, 2023","111.10","116.10","116.80","108.00","52.80K","-4.31%"
"May 07, 2023","116.10","116.90","117.70","115.90","13.44K","-0.68%"
"May 06, 2023","116.90","120.00","120.60","115.50","28.81K","-2.58%"
"May 05, 2023","120.00","117.30","121.00","117.30","27.51K","2.30%"
"May 04, 2023","117.30","120.00","120.20","116.50","18.09K","-2.25%"
"May 03, 2023","120.00","119.30","120.80","115.90","28.93K","0.59%"
"May 02, 2023","119.30","117.10","119.60","116.40","24.45K","1.88%"
"May 01, 2023","117.10","117.70","118.40","115.20","22.69K","-0.51%"
"Apr 30, 2023","117.70","119.70","120.90","117.70","23.46K","-1.67%"
"Apr 29, 2023","119.70","118.00","120.20","117.60","17.02K","1.35%"
"Apr 28, 2023","118.10","117.00","119.70","116.00","53.82K","0.94%"
"Apr 27, 2023","117.00","117.60","120.20","116.40","77.42K","-0.51%"
"Apr 26, 2023","117.60","120.20","123.40","112.20","62.74K","-2.16%"
"Apr 25, 2023","120.20","119.10","120.40","116.60","30.93K","0.92%"
"Apr 24, 2023","119.10","119.80","121.60","118.70","39.35K","-0.58%"
"Apr 23, 2023","119.80","122.10","122.80","118.30","23.38K","-1.88%"
"Apr 22, 2023","122.10","119.80","122.80","119.10","28.30K","1.92%"
"Apr 21, 2023","119.80","123.20","125.00","118.30","44.64K","-2.76%"
"Apr 20, 2023","123.20","124.90","126.80","121.50","39.42K","-1.36%"
"Apr 19, 2023","124.90","133.60","133.90","122.90","77.11K","-6.51%"
"Apr 18, 2023","133.60","131.50","134.20","130.40","33.98K","1.60%"
"Apr 17, 2023","131.50","134.40","134.50","130.30","39.96K","-2.08%"
"Apr 16, 2023","134.30","132.50","136.00","131.20","40.03K","1.36%"
"Apr 15, 2023","132.50","132.20","133.50","130.70","37.45K","0.23%"
"Apr 14, 2023","132.20","131.10","134.30","129.00","60.37K","0.84%"
"Apr 13, 2023","131.10","128.80","131.70","128.00","52.19K","1.79%"
"Apr 12, 2023","128.80","129.10","129.90","125.60","43.00K","-0.23%"
"Apr 11, 2023","129.10","128.00","130.60","127.50","43.08K","0.86%"
"Apr 10, 2023","128.00","125.60","128.60","124.00","32.05K","1.91%"
"Apr 09, 2023","125.60","123.80","126.40","123.40","17.46K","1.45%"
"Apr 08, 2023","123.80","124.50","125.20","122.90","17.82K","-0.56%"
"Apr 07, 2023","124.50","126.00","126.50","123.20","27.87K","-1.19%"
"Apr 06, 2023","126.00","127.20","127.60","125.00","23.16K","-0.94%"
"Apr 05, 2023","127.20","127.10","129.90","125.20","49.96K","0.08%"
"Apr 04, 2023","127.10","127.80","128.30","125.90","49.75K","-0.55%"
"Apr 03, 2023","127.80","123.00","129.50","119.90","117.68K","3.90%"
"Apr 02, 2023","123.00","126.10","126.50","121.30","32.73K","-2.46%"
"Apr 01, 2023","126.10","123.90","127.50","123.50","40.10K","1.78%"
"Mar 31, 2023","123.90","121.10","124.60","120.40","33.00K","2.31%"
"Mar 30, 2023","121.10","123.30","125.20","119.00","61.36K","-1.78%"
"Mar 29, 2023","123.30","120.90","124.80","120.40","57.94K","1.99%"
"Mar 28, 2023","120.90","120.30","122.20","119.10","59.17K","0.50%"
"Mar 27, 2023","120.30","124.80","125.00","116.80","64.55K","-3.61%"
"Mar 26, 2023","124.80","125.20","127.00","123.60","27.65K","-0.32%"
"Mar 25, 2023","125.20","123.70","127.50","123.20","32.84K","1.21%"
"Mar 24, 2023","123.70","128.70","131.80","121.90","81.35K","-3.89%"
"Mar 23, 2023","128.70","125.90","130.90","124.50","88.07K","2.14%"
"Mar 22, 2023","126.00","134.00","134.20","123.10","76.79K","-6.04%"
"Mar 21, 2023","134.10","130.30","134.60","125.80","68.39K","2.92%"
"Mar 20, 2023","130.30","135.70","138.60","129.50","53.71K","-3.98%"
"Mar 19, 2023","135.70","131.10","136.90","131.00","31.90K","3.51%"
"Mar 18, 2023","131.10","135.50","137.90","130.50","47.67K","-3.25%"
"Mar 17, 2023","135.50","125.80","135.60","124.90","56.75K","7.80%"
"Mar 16, 2023","125.70","123.10","126.80","122.20","49.75K","2.11%"
"Mar 15, 2023","123.10","131.00","133.80","122.00","65.35K","-6.03%"
"Mar 14, 2023","131.00","126.60","136.00","125.40","97.28K","3.48%"
"Mar 13, 2023","126.60","120.20","127.90","119.40","91.86K","5.41%"
"Mar 12, 2023","120.10","113.60","120.80","112.00","52.39K","5.81%"
"Mar 11, 2023","113.50","111.50","115.00","107.60","67.44K","1.79%"
"Mar 10, 2023","111.50","110.20","111.90","105.20","62.57K","1.09%"
"Mar 09, 2023","110.30","116.70","118.40","107.10","51.72K","-5.48%"
"Mar 08, 2023","116.70","122.10","122.60","115.00","42.49K","-4.42%"
"Mar 07, 2023","122.10","124.20","125.80","120.10","28.58K","-1.69%"
"Mar 06, 2023","124.20","124.00","125.00","122.30","22.63K","0.16%"
"Mar 05, 2023","124.00","124.40","126.30","123.20","14.75K","-0.32%"
"Mar 04, 2023","124.40","126.40","127.00","122.40","21.86K","-1.58%"
"Mar 03, 2023","126.40","131.80","131.90","120.50","51.03K","-4.02%"
"Mar 02, 2023","131.70","134.30","134.80","129.90","32.70K","-1.94%"
"Mar 01, 2023","134.30","131.90","135.80","131.70","29.84K","1.82%"
"Feb 28, 2023","131.90","135.20","135.30","130.60","37.64K","-2.44%"
"Feb 27, 2023","135.20","136.30","138.20","133.40","33.73K","-0.81%"
"Feb 26, 2023","136.30","133.20","137.40","132.20","27.86K","2.33%"
"Feb 25, 2023","133.20","132.90","135.30","129.90","39.69K","0.23%"
"Feb 24, 2023","132.90","138.80","139.60","130.40","39.43K","-4.25%"
"Feb 23, 2023","138.80","142.10","143.70","137.50","37.06K","-2.32%"
"Feb 22, 2023","142.10","145.20","145.60","137.00","49.88K","-2.13%"
"Feb 21, 2023","145.20","145.10","153.60","143.00","144.38K","0.07%"
"Feb 20, 2023","145.10","136.20","148.90","133.20","123.50K","6.53%"
"Feb 19, 2023","136.20","136.20","140.60","134.90","58.94K","0.00%"
"Feb 18, 2023","136.20","133.40","138.60","133.20","46.25K","2.10%"
"Feb 17, 2023","133.40","128.00","134.60","127.60","51.36K","4.22%"
"Feb 16, 2023","128.00","134.80","135.80","127.70","61.76K","-5.04%"
"Feb 15, 2023","134.80","126.70","135.20","125.10","64.47K","6.39%"
"Feb 14, 2023","126.70","123.70","127.10","122.80","51.04K","2.43%"
"Feb 13, 2023","123.70","122.90","124.60","120.00","64.51K","0.65%"
"Feb 12, 2023","122.90","124.60","126.60","121.60","30.27K","-1.36%"
"Feb 11, 2023","124.60","124.30","125.40","123.20","37.20K","0.24%"
"Feb 10, 2023","124.30","126.50","129.90","124.00","47.43K","-1.74%"
"Feb 09, 2023","126.50","131.60","132.50","122.50","84.28K","-3.88%"
"Feb 08, 2023","131.60","135.90","136.60","129.80","44.51K","-3.16%"
"Feb 07, 2023","135.90","131.50","136.70","131.20","41.19K","3.35%"
"Feb 06, 2023","131.50","134.40","135.00","130.40","29.83K","-2.16%"
"Feb 05, 2023","134.40","138.00","138.30","132.90","42.09K","-2.61%"
"Feb 04, 2023","138.00","137.90","140.00","136.50","31.44K","0.07%"
"Feb 03, 2023","137.90","136.50","139.50","136.10","39.30K","1.03%"
"Feb 02, 2023","136.50","136.10","143.30","135.80","82.41K","0.29%"
"Feb 01, 2023","136.10","133.30","136.90","129.90","50.50K","2.10%"
"Jan 31, 2023","133.30","131.20","136.40","130.60","42.24K","1.60%"
"Jan 30, 2023","131.20","136.60","136.70","128.20","62.19K","-3.95%"
"Jan 29, 2023","136.60","132.80","138.60","132.00","51.27K","2.86%"
"Jan 28, 2023","132.80","135.10","135.70","131.60","28.55K","-1.70%"
"Jan 27, 2023","135.10","133.90","136.20","132.20","44.59K","0.90%"
"Jan 26, 2023","133.90","131.80","134.90","129.90","46.35K","1.44%"
"Jan 25, 2023","132.00","128.20","134.40","125.50","49.03K","2.96%"
"Jan 24, 2023","128.20","133.20","137.10","126.00","57.32K","-3.75%"
"Jan 23, 2023","133.20","128.50","137.20","128.50","96.74K","3.66%"
"Jan 22, 2023","128.50","127.90","132.40","127.20","56.38K","0.47%"
"Jan 21, 2023","127.90","128.10","134.10","126.10","98.72K","-0.16%"
"Jan 20, 2023","128.10","121.60","128.10","120.40","56.33K","5.35%"
