Date,Price,Open,High,Low,Vol.,Change %
21-Jul-23,0.308,0.305,0.311,0.303,4.74M,1.20%
20-Jul-23,0.305,0.308,0.316,0.3,10.07M,-1.07%
19-Jul-23,0.308,0.31,0.315,0.307,6.77M,-0.51%
18-Jul-23,0.31,0.32,0.323,0.304,7.23M,-3.24%
17-Jul-23,0.32,0.307,0.33,0.306,15.24M,4.04%
16-Jul-23,0.307,0.317,0.319,0.306,4.35M,-3.17%
15-Jul-23,0.317,0.311,0.319,0.307,5.59M,2.24%
14-Jul-23,0.311,0.323,0.327,0.299,10.51M,-4.00%
13-Jul-23,0.323,0.297,0.325,0.291,10.76M,8.81%
12-Jul-23,0.297,0.299,0.307,0.294,7.48M,-0.57%
11-Jul-23,0.299,0.29,0.3,0.288,6.07M,3.28%
10-Jul-23,0.29,0.291,0.296,0.28,6.83M,-0.40%
09-Jul-23,0.291,0.295,0.298,0.289,2.97M,-1.54%
08-Jul-23,0.295,0.294,0.297,0.291,3.49M,0.49%
07-Jul-23,0.294,0.293,0.296,0.29,4.86M,0.31%
06-Jul-23,0.293,0.31,0.316,0.293,8.16M,-5.39%
05-Jul-23,0.31,0.313,0.344,0.307,25.37M,-1.14%
04-Jul-23,0.313,0.318,0.328,0.31,9.05M,-1.42%
03-Jul-23,0.318,0.312,0.32,0.309,6.64M,1.80%
02-Jul-23,0.312,0.316,0.317,0.302,7.05M,-1.14%
01-Jul-23,0.316,0.297,0.316,0.294,11.17M,6.34%
30-Jun-23,0.297,0.283,0.3,0.276,13.15M,4.70%
29-Jun-23,0.283,0.277,0.297,0.276,11.48M,2.23%
28-Jun-23,0.277,0.296,0.297,0.27,10.74M,-6.47%
27-Jun-23,0.296,0.292,0.297,0.288,5.19M,1.40%
26-Jun-23,0.292,0.304,0.304,0.29,6.83M,-3.72%
25-Jun-23,0.304,0.297,0.33,0.297,15.96M,2.40%
24-Jun-23,0.297,0.291,0.299,0.289,9.48M,2.06%
23-Jun-23,0.291,0.279,0.295,0.278,8.05M,4.19%
22-Jun-23,0.279,0.281,0.291,0.277,8.73M,-0.93%
21-Jun-23,0.281,0.268,0.285,0.267,10.27M,5.21%
20-Jun-23,0.268,0.258,0.268,0.253,4.33M,3.56%
19-Jun-23,0.258,0.256,0.261,0.253,4.86M,1.07%
18-Jun-23,0.256,0.26,0.263,0.254,3.38M,-1.86%
17-Jun-23,0.26,0.259,0.267,0.257,3.75M,0.74%
16-Jun-23,0.259,0.254,0.261,0.249,4.17M,1.97%
15-Jun-23,0.254,0.248,0.256,0.242,5.13M,2.43%
14-Jun-23,0.248,0.257,0.263,0.243,6.73M,-3.51%
13-Jun-23,0.257,0.254,0.263,0.252,5.50M,0.83%
12-Jun-23,0.254,0.251,0.255,0.243,5.46M,1.53%
11-Jun-23,0.251,0.251,0.255,0.247,6.25M,-0.35%
10-Jun-23,0.251,0.291,0.291,0.23,23.25M,-13.51%
09-Jun-23,0.291,0.3,0.3,0.287,6.21M,-3.16%
08-Jun-23,0.3,0.3,0.307,0.292,7.86M,0.20%
07-Jun-23,0.3,0.323,0.323,0.297,5.86M,-7.31%
06-Jun-23,0.323,0.309,0.326,0.307,8.18M,4.54%
05-Jun-23,0.309,0.335,0.347,0.302,16.63M,-7.78%
04-Jun-23,0.335,0.33,0.34,0.328,3.97M,1.74%
03-Jun-23,0.33,0.333,0.333,0.326,2.79M,-1.15%
02-Jun-23,0.333,0.33,0.334,0.327,3.28M,1.16%
01-Jun-23,0.33,0.324,0.332,0.319,3.97M,1.69%
31-May-23,0.324,0.336,0.339,0.321,4.36M,-3.60%
30-May-23,0.336,0.333,0.339,0.331,4.17M,0.88%
29-May-23,0.333,0.342,0.345,0.332,4.32M,-2.67%
28-May-23,0.342,0.337,0.346,0.335,5.35M,1.76%
27-May-23,0.337,0.33,0.337,0.328,3.39M,1.86%
26-May-23,0.33,0.333,0.335,0.326,5.83M,-0.81%
25-May-23,0.333,0.325,0.337,0.315,6.98M,2.43%
24-May-23,0.325,0.34,0.34,0.322,5.59M,-4.22%
23-May-23,0.34,0.338,0.346,0.336,3.25M,0.60%
22-May-23,0.338,0.34,0.342,0.333,3.50M,-0.86%
21-May-23,0.34,0.346,0.346,0.336,3.45M,-1.50%
20-May-23,0.346,0.346,0.348,0.341,2.77M,0.00%
19-May-23,0.346,0.345,0.351,0.342,3.27M,0.00%
18-May-23,0.345,0.356,0.356,0.337,5.21M,-2.94%
17-May-23,0.356,0.346,0.364,0.345,10.64M,2.66%
16-May-23,0.346,0.338,0.347,0.333,5.25M,2.45%
15-May-23,0.338,0.336,0.345,0.331,6.32M,0.53%
14-May-23,0.336,0.333,0.338,0.328,3.23M,1.22%
13-May-23,0.332,0.337,0.337,0.329,4.76M,-1.32%
12-May-23,0.337,0.332,0.337,0.32,6.21M,1.33%
11-May-23,0.332,0.351,0.351,0.325,7.00M,-5.31%
10-May-23,0.351,0.343,0.355,0.333,8.36M,2.21%
09-May-23,0.343,0.343,0.348,0.34,4.39M,0.22%
08-May-23,0.343,0.364,0.366,0.331,11.91M,-6.08%
07-May-23,0.365,0.369,0.37,0.363,3.06M,-1.24%
06-May-23,0.369,0.385,0.387,0.364,5.81M,-4.15%
05-May-23,0.385,0.38,0.387,0.376,3.75M,1.53%
04-May-23,0.38,0.386,0.388,0.378,2.80M,-1.60%
03-May-23,0.386,0.377,0.387,0.368,4.64M,2.27%
