"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2023","0.6204","0.6285","0.6353","0.6195","3.65M","-1.29%"
"Jul 20, 2023","0.6285","0.6221","0.6397","0.6172","6.17M","1.03%"
"Jul 19, 2023","0.6221","0.6295","0.6389","0.6170","6.20M","-1.18%"
"Jul 18, 2023","0.6295","0.6530","0.6607","0.6219","6.46M","-3.60%"
"Jul 17, 2023","0.6530","0.6348","0.6654","0.6279","6.98M","2.87%"
"Jul 16, 2023","0.6348","0.6510","0.6574","0.6294","3.99M","-2.48%"
"Jul 15, 2023","0.6510","0.6509","0.6640","0.6400","1.90M","0.00%"
"Jul 14, 2023","0.6509","0.6850","0.7131","0.6320","7.31M","-4.97%"
"Jul 13, 2023","0.6850","0.6149","0.6869","0.6011","6.35M","11.39%"
"Jul 12, 2023","0.6149","0.6241","0.6379","0.6030","2.76M","-1.47%"
"Jul 11, 2023","0.6241","0.6181","0.6260","0.6129","2.36M","0.97%"
"Jul 10, 2023","0.6181","0.6211","0.6350","0.5952","3.29M","-0.48%"
"Jul 09, 2023","0.6211","0.6351","0.6402","0.6188","1.77M","-2.31%"
"Jul 08, 2023","0.6358","0.6250","0.6389","0.6211","1.72M","1.72%"
"Jul 07, 2023","0.6250","0.6121","0.6281","0.6060","3.05M","2.13%"
"Jul 06, 2023","0.6120","0.6390","0.6720","0.6120","4.71M","-4.23%"
"Jul 05, 2023","0.6390","0.6791","0.6919","0.6329","4.91M","-5.90%"
"Jul 04, 2023","0.6791","0.6910","0.7029","0.6698","3.69M","-1.72%"
"Jul 03, 2023","0.6910","0.6649","0.7053","0.6591","5.79M","3.92%"
"Jul 02, 2023","0.6649","0.6740","0.6750","0.6444","4.09M","-1.34%"
"Jul 01, 2023","0.6740","0.6580","0.7009","0.6530","9.26M","2.43%"
"Jun 30, 2023","0.6580","0.6240","0.6631","0.5974","8.52M","5.45%"
"Jun 29, 2023","0.6240","0.6110","0.6369","0.6020","3.84M","2.13%"
"Jun 28, 2023","0.6110","0.6580","0.6580","0.5983","5.72M","-7.14%"
"Jun 27, 2023","0.6580","0.6570","0.6700","0.6510","3.53M","0.16%"
"Jun 26, 2023","0.6570","0.7101","0.7290","0.6440","8.19M","-7.48%"
"Jun 25, 2023","0.7101","0.7489","0.7659","0.6930","12.47M","-5.19%"
"Jun 24, 2023","0.7489","0.5860","0.8903","0.5810","53.55M","27.81%"
"Jun 23, 2023","0.5860","0.5549","0.5960","0.5499","4.14M","5.59%"
