Date,Price,Open,High,Low,Vol.,Change %
21-Jul-23,4.47,4.44,4.55,4.4,6.29M,0.83%
20-Jul-23,4.44,4.26,4.58,4.24,11.44M,4.12%
19-Jul-23,4.26,4.28,4.39,4.22,3.10M,-0.33%
18-Jul-23,4.28,4.35,4.39,4.2,3.54M,-1.81%
17-Jul-23,4.35,4.35,4.48,4.22,6.32M,0.00%
16-Jul-23,4.35,4.44,4.46,4.32,4.54M,-1.82%
15-Jul-23,4.44,4.44,4.51,4.38,4.21M,0.00%
14-Jul-23,4.44,4.67,4.74,4.31,11.75M,-5.08%
13-Jul-23,4.67,4.24,4.7,4.19,10.33M,10.34%
12-Jul-23,4.24,4.3,4.34,4.18,4.46M,-1.39%
11-Jul-23,4.3,4.32,4.35,4.22,3.37M,-0.49%
10-Jul-23,4.32,4.34,4.42,4.15,6.57M,-0.42%
09-Jul-23,4.34,4.34,4.42,4.32,3.66M,-0.22%
08-Jul-23,4.34,4.4,4.43,4.24,3.46M,-1.36%
07-Jul-23,4.4,4.32,4.46,4.28,4.89M,1.92%
06-Jul-23,4.32,4.6,4.68,4.32,9.69M,-6.01%
05-Jul-23,4.6,4.54,4.83,4.36,19.13M,1.25%
04-Jul-23,4.54,4.74,4.76,4.49,10.23M,-3.95%
03-Jul-23,4.73,4.11,4.91,4.08,36.78M,15.06%
02-Jul-23,4.11,4.11,4.13,3.96,6.80M,0.00%
01-Jul-23,4.11,3.95,4.25,3.91,8.73M,4.05%
30-Jun-23,3.95,3.83,4.04,3.68,10.40M,2.89%
29-Jun-23,3.83,3.77,3.89,3.77,3.37M,1.84%
28-Jun-23,3.77,4.03,4.04,3.66,5.74M,-6.46%
27-Jun-23,4.03,3.96,4.08,3.95,3.65M,1.76%
26-Jun-23,3.96,4.12,4.15,3.9,5.75M,-4.06%
25-Jun-23,4.12,3.93,4.25,3.92,7.84M,5.03%
24-Jun-23,3.93,4.04,4.07,3.86,5.27M,-2.75%
23-Jun-23,4.04,3.92,4.13,3.92,6.33M,2.87%
22-Jun-23,3.92,3.93,4.08,3.88,6.31M,-0.20%
21-Jun-23,3.93,3.78,3.97,3.75,9.43M,3.91%
20-Jun-23,3.78,3.69,3.81,3.59,4.56M,2.63%
19-Jun-23,3.69,3.68,3.7,3.59,3.40M,0.29%
18-Jun-23,3.68,3.71,3.75,3.65,2.78M,-0.81%
17-Jun-23,3.71,3.69,3.8,3.66,3.78M,0.51%
16-Jun-23,3.69,3.66,3.74,3.55,3.80M,0.86%
15-Jun-23,3.66,3.57,3.71,3.47,5.71M,2.51%
14-Jun-23,3.57,3.66,3.75,3.47,5.14M,-2.47%
13-Jun-23,3.66,3.54,3.73,3.5,8.07M,3.41%
12-Jun-23,3.54,3.43,3.61,3.31,6.35M,3.19%
11-Jun-23,3.43,3.48,3.5,3.35,5.20M,-1.66%
10-Jun-23,3.48,4.03,4.04,2.78,32.37M,-13.63%
09-Jun-23,4.03,4.09,4.14,3.96,3.91M,-1.49%
08-Jun-23,4.09,4.14,4.18,4.08,3.23M,-0.97%
07-Jun-23,4.14,4.4,4.4,4.06,5.15M,-5.95%
06-Jun-23,4.4,4.22,4.44,4.15,5.84M,4.15%
05-Jun-23,4.22,4.66,4.66,4.02,10.77M,-9.55%
04-Jun-23,4.67,4.85,4.89,4.62,6.76M,-3.83%
03-Jun-23,4.85,4.96,4.98,4.81,3.39M,-2.24%
02-Jun-23,4.96,4.7,5.02,4.69,8.33M,5.73%
01-Jun-23,4.7,4.69,4.75,4.62,3.15M,0.00%
31-May-23,4.69,4.83,4.88,4.62,5.12M,-2.83%
30-May-23,4.83,4.63,4.9,4.6,7.18M,4.25%
29-May-23,4.63,4.66,4.72,4.59,3.76M,-0.53%
28-May-23,4.66,4.48,4.7,4.47,4.05M,3.96%
27-May-23,4.48,4.44,4.5,4.42,2.19M,0.82%
26-May-23,4.44,4.42,4.46,4.37,2.09M,0.61%
25-May-23,4.42,4.46,4.48,4.35,2.71M,-1.06%
24-May-23,4.46,4.52,4.53,4.36,4.87M,-1.13%
23-May-23,4.52,4.41,4.52,4.4,3.15M,2.31%
22-May-23,4.41,4.38,4.44,4.31,2.63M,0.84%
21-May-23,4.38,4.51,4.53,4.35,2.38M,-2.85%
20-May-23,4.51,4.5,4.53,4.46,1.74M,0.21%
19-May-23,4.5,4.46,4.51,4.43,2.91M,0.74%
18-May-23,4.46,4.55,4.65,4.4,6.86M,-1.99%
17-May-23,4.55,4.43,4.61,4.39,7.55M,2.88%
16-May-23,4.43,4.45,4.49,4.38,5.14M,-0.62%
15-May-23,4.45,4.45,4.54,4.37,4.74M,0.14%
14-May-23,4.45,4.38,4.49,4.33,2.84M,1.46%
13-May-23,4.38,4.44,4.44,4.34,3.18M,-1.12%
12-May-23,4.43,4.35,4.44,4.22,6.68M,1.85%
11-May-23,4.35,4.6,4.6,4.25,8.24M,-5.47%
10-May-23,4.6,4.55,4.74,4.41,9.96M,1.13%
09-May-23,4.55,4.54,4.6,4.49,5.18M,0.30%
08-May-23,4.54,5.03,5.07,4.36,11.51M,-9.79%
07-May-23,5.03,5.05,5.13,5.01,3.21M,-0.45%
06-May-23,5.05,5.26,5.29,5,5.03M,-3.98%
05-May-23,5.26,5.27,5.33,5.13,4.96M,0.00%
04-May-23,5.27,5.34,5.36,5.23,3.31M,-1.46%
03-May-23,5.34,5.28,5.38,5.2,5.12M,1.11%
02-May-23,5.28,5.3,5.32,5.22,3.53M,-0.36%
01-May-23,5.3,5.42,5.46,5.19,5.44M,-2.21%
30-Apr-23,5.42,5.57,5.61,5.4,4.58M,-2.69%
29-Apr-23,5.57,5.5,5.67,5.44,7.51M,1.25%
28-Apr-23,5.5,5.39,5.52,5.29,5.78M,2.08%
27-Apr-23,5.39,5.25,5.48,5.22,7.36M,2.77%
26-Apr-23,5.25,5.34,5.55,5.02,10.36M,-1.81%
25-Apr-23,5.34,5.25,5.38,5.15,4.78M,1.71%
24-Apr-23,5.25,5.27,5.35,5.17,5.33M,-0.38%
23-Apr-23,5.27,5.33,5.39,5.16,6.22M,-0.97%
22-Apr-23,5.33,5.26,5.34,5.22,5.25M,1.17%
21-Apr-23,5.26,5.56,5.63,5.15,8.50M,-5.39%
20-Apr-23,5.56,5.7,5.81,5.47,7.87M,-2.48%
19-Apr-23,5.7,6.26,6.3,5.61,12.08M,-8.91%
18-Apr-23,6.26,6.12,6.31,6.03,6.17M,2.31%
17-Apr-23,6.12,6.34,6.36,6.03,7.62M,-3.46%
16-Apr-23,6.34,6.3,6.38,6.21,6.52M,0.67%
15-Apr-23,6.3,6.22,6.43,6.08,9.31M,1.24%
14-Apr-23,6.22,6.08,6.32,5.96,10.96M,2.38%
13-Apr-23,6.08,5.96,6.12,5.91,5.96M,1.95%
12-Apr-23,5.96,6.11,6.12,5.82,10.10M,-2.37%
11-Apr-23,6.11,6.17,6.18,5.97,10.56M,-1.13%
10-Apr-23,6.18,5.75,6.23,5.67,9.62M,7.47%
09-Apr-23,5.75,5.76,5.88,5.62,6.52M,-0.30%
08-Apr-23,5.76,5.79,5.9,5.74,8.23M,-0.48%
07-Apr-23,5.79,5.6,6,5.51,11.18M,3.33%
06-Apr-23,5.6,5.67,5.68,5.53,4.55M,-1.20%
05-Apr-23,5.67,5.62,5.78,5.56,8.32M,0.92%
04-Apr-23,5.62,5.57,5.66,5.52,5.61M,0.86%
03-Apr-23,5.57,5.55,5.67,5.35,8.34M,0.42%
02-Apr-23,5.55,5.76,5.79,5.44,5.64M,-3.58%
01-Apr-23,5.76,5.69,5.8,5.6,6.55M,1.25%
31-Mar-23,5.68,5.56,5.73,5.45,7.40M,2.30%
30-Mar-23,5.56,5.74,5.88,5.43,8.94M,-3.19%
29-Mar-23,5.74,5.56,5.82,5.54,8.12M,3.14%
28-Mar-23,5.56,5.35,5.62,5.27,7.41M,4.02%
27-Mar-23,5.35,5.68,5.69,5.21,8.49M,-5.88%
26-Mar-23,5.68,5.38,5.74,5.35,5.67M,5.62%
25-Mar-23,5.38,5.55,5.62,5.27,6.99M,-2.94%
24-Mar-23,5.55,5.93,6.05,5.45,13.06M,-6.50%
23-Mar-23,5.93,5.64,5.97,5.61,10.02M,5.09%
22-Mar-23,5.64,5.93,5.97,5.35,17.72M,-4.79%
21-Mar-23,5.93,5.72,6.09,5.63,14.53M,3.67%
20-Mar-23,5.72,6.27,6.44,5.68,18.40M,-8.83%
