"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2023","0.18437","0.18363","0.18539","0.18153","4.37M","0.57%"
"Jul 20, 2023","0.18332","0.18408","0.18861","0.18061","8.18M","-0.41%"
"Jul 19, 2023","0.18408","0.18449","0.18698","0.18096","9.16M","-0.22%"
"Jul 18, 2023","0.18449","0.19332","0.19406","0.18222","10.00M","-4.57%"
"Jul 17, 2023","0.19332","0.18969","0.19673","0.18585","11.83M","1.91%"
"Jul 16, 2023","0.18969","0.19219","0.19632","0.18833","11.54M","-1.30%"
"Jul 15, 2023","0.19219","0.18859","0.19579","0.18722","8.40M","1.91%"
"Jul 14, 2023","0.18858","0.19460","0.19585","0.18174","19.97M","-3.09%"
"Jul 13, 2023","0.19460","0.18052","0.19462","0.17941","14.33M","7.80%"
"Jul 12, 2023","0.18052","0.18090","0.18473","0.17797","9.08M","-0.21%"
"Jul 11, 2023","0.18090","0.17845","0.18101","0.17663","4.51M","1.37%"
"Jul 10, 2023","0.17845","0.18135","0.18319","0.17584","6.07M","-1.60%"
"Jul 09, 2023","0.18135","0.18159","0.18289","0.17983","3.77M","-0.13%"
"Jul 08, 2023","0.18159","0.18230","0.18379","0.17878","4.02M","-0.39%"
"Jul 07, 2023","0.18230","0.17873","0.18377","0.17685","5.97M","1.99%"
"Jul 06, 2023","0.17873","0.18360","0.18929","0.17688","9.23M","-2.65%"
"Jul 05, 2023","0.18360","0.18571","0.19109","0.18060","8.93M","-1.13%"
"Jul 04, 2023","0.18571","0.18602","0.19126","0.18418","7.09M","-0.17%"
"Jul 03, 2023","0.18602","0.18417","0.18729","0.18262","8.99M","1.00%"
"Jul 02, 2023","0.18417","0.18640","0.18670","0.17970","4.98M","-1.10%"
"Jul 01, 2023","0.18623","0.18240","0.18628","0.18094","6.54M","2.10%"
"Jun 30, 2023","0.18239","0.17771","0.18497","0.17122","15.88M","2.64%"
"Jun 29, 2023","0.17771","0.17425","0.17856","0.17406","5.67M","1.99%"
"Jun 28, 2023","0.17424","0.18381","0.18390","0.16959","13.81M","-5.21%"
"Jun 27, 2023","0.18381","0.18001","0.19601","0.17962","30.71M","2.11%"
"Jun 26, 2023","0.18001","0.18204","0.18645","0.17706","12.57M","-1.12%"
"Jun 25, 2023","0.18204","0.18068","0.18699","0.17888","8.97M","0.75%"
"Jun 24, 2023","0.18068","0.17941","0.18266","0.17691","8.31M","0.71%"
"Jun 23, 2023","0.17941","0.16955","0.18022","0.16955","10.31M","5.81%"
"Jun 22, 2023","0.16955","0.17185","0.17630","0.16856","13.12M","-1.33%"
"Jun 21, 2023","0.17184","0.16478","0.17325","0.16423","13.69M","4.29%"
"Jun 20, 2023","0.16478","0.15858","0.16534","0.15678","10.98M","3.91%"
"Jun 19, 2023","0.15858","0.15830","0.16129","0.15668","10.93M","0.18%"
"Jun 18, 2023","0.15830","0.15884","0.16178","0.15702","3.99M","-0.34%"
"Jun 17, 2023","0.15884","0.15759","0.16362","0.15664","7.14M","0.80%"
"Jun 16, 2023","0.15759","0.15319","0.15882","0.15091","8.20M","2.87%"
"Jun 15, 2023","0.15319","0.15260","0.15460","0.14709","14.31M","0.39%"
"Jun 14, 2023","0.15260","0.15610","0.15838","0.14872","12.41M","-2.24%"
"Jun 13, 2023","0.15610","0.15853","0.16056","0.15473","12.84M","-1.54%"
"Jun 12, 2023","0.15853","0.15856","0.15924","0.15370","15.05M","-0.02%"
"Jun 11, 2023","0.15856","0.15758","0.15927","0.15382","16.10M","0.62%"
"Jun 10, 2023","0.15758","0.17657","0.17696","0.13639","52.72M","-10.75%"
"Jun 09, 2023","0.17657","0.17954","0.18066","0.17498","14.62M","-1.65%"
"Jun 08, 2023","0.17954","0.18010","0.18279","0.17702","12.13M","-0.32%"
"Jun 07, 2023","0.18010","0.18649","0.18649","0.17688","13.31M","-3.51%"
"Jun 06, 2023","0.18666","0.18403","0.18857","0.17562","24.90M","1.43%"
"Jun 05, 2023","0.18403","0.20351","0.20511","0.17938","26.74M","-9.58%"
"Jun 04, 2023","0.20351","0.20654","0.20847","0.20196","18.28M","-1.47%"
"Jun 03, 2023","0.20654","0.20009","0.20884","0.19828","21.78M","3.22%"
"Jun 02, 2023","0.20009","0.19963","0.20225","0.19650","18.17M","0.23%"
"Jun 01, 2023","0.19963","0.19971","0.20717","0.19791","29.89M","-0.04%"
"May 31, 2023","0.19972","0.20149","0.20478","0.19494","35.72M","-0.87%"
"May 30, 2023","0.20148","0.20989","0.22466","0.20146","58.25M","-4.02%"
"May 29, 2023","0.20993","0.20202","0.21056","0.19930","26.23M","3.91%"
"May 28, 2023","0.20202","0.19680","0.20466","0.19661","15.19M","2.59%"
"May 27, 2023","0.19692","0.19277","0.19706","0.19163","12.57M","2.15%"
"May 26, 2023","0.19277","0.19406","0.19653","0.19218","11.98M","-0.67%"
"May 25, 2023","0.19406","0.18999","0.19418","0.18610","17.65M","2.15%"
"May 24, 2023","0.18999","0.19087","0.19208","0.18628","26.13M","-0.46%"
"May 23, 2023","0.19087","0.18359","0.19270","0.18300","22.20M","3.96%"
"May 22, 2023","0.18359","0.17646","0.18462","0.17406","21.07M","4.04%"
"May 21, 2023","0.17646","0.17853","0.17912","0.17461","13.73M","-1.16%"
"May 20, 2023","0.17853","0.18211","0.18369","0.17742","23.09M","-1.96%"
"May 19, 2023","0.18211","0.18229","0.18402","0.18064","22.43M","-0.10%"
"May 18, 2023","0.18229","0.18453","0.18543","0.18065","11.86M","-1.22%"
"May 17, 2023","0.18453","0.18140","0.18590","0.17854","10.86M","1.73%"
"May 16, 2023","0.18140","0.17994","0.18172","0.17791","7.60M","0.81%"
"May 15, 2023","0.17994","0.17701","0.18111","0.17452","9.90M","1.66%"
"May 14, 2023","0.17701","0.17650","0.17865","0.17517","4.70M","0.29%"
"May 13, 2023","0.17650","0.17919","0.17932","0.17541","5.52M","-1.50%"
"May 12, 2023","0.17920","0.17662","0.17920","0.17214","8.00M","1.46%"
"May 11, 2023","0.17662","0.18013","0.18019","0.17350","8.52M","-1.95%"
"May 10, 2023","0.18013","0.17960","0.18377","0.17217","14.91M","0.29%"
"May 09, 2023","0.17960","0.18024","0.18295","0.17799","18.48M","-0.35%"
"May 08, 2023","0.18024","0.19175","0.19304","0.17439","16.76M","-6.00%"
"May 07, 2023","0.19174","0.19207","0.19417","0.19021","4.09M","-0.18%"
"May 06, 2023","0.19210","0.19914","0.20004","0.19004","8.91M","-3.54%"
"May 05, 2023","0.19914","0.19531","0.19996","0.19478","8.66M","1.96%"
"May 04, 2023","0.19531","0.19957","0.20038","0.19374","12.71M","-2.13%"
"May 03, 2023","0.19957","0.19565","0.20063","0.19025","13.74M","2.03%"
"May 02, 2023","0.19560","0.19331","0.19569","0.19146","9.33M","1.18%"
"May 01, 2023","0.19331","0.19726","0.19855","0.19019","10.68M","-2.00%"
"Apr 30, 2023","0.19726","0.20110","0.20301","0.19726","7.19M","-1.91%"
"Apr 29, 2023","0.20110","0.20012","0.20277","0.19905","7.93M","0.49%"
"Apr 28, 2023","0.20012","0.20127","0.20157","0.19684","8.40M","-0.57%"
"Apr 27, 2023","0.20127","0.19742","0.20374","0.19592","11.64M","1.95%"
"Apr 26, 2023","0.19742","0.20180","0.20758","0.18856","17.54M","-2.17%"
"Apr 25, 2023","0.20180","0.19971","0.20257","0.19361","10.62M","1.05%"
"Apr 24, 2023","0.19971","0.19956","0.20138","0.19491","10.44M","0.08%"
"Apr 23, 2023","0.19955","0.20276","0.20276","0.19517","8.40M","-1.58%"
"Apr 22, 2023","0.20276","0.20007","0.20317","0.19759","6.44M","1.34%"
"Apr 21, 2023","0.20007","0.20805","0.21055","0.19699","17.61M","-3.83%"
"Apr 20, 2023","0.20805","0.20747","0.21127","0.20208","17.46M","0.31%"
"Apr 19, 2023","0.20740","0.22843","0.22896","0.20370","28.27M","-9.15%"
"Apr 18, 2023","0.22828","0.22350","0.22968","0.22111","11.81M","2.14%"
"Apr 17, 2023","0.22350","0.22911","0.22959","0.21961","15.73M","-2.45%"
"Apr 16, 2023","0.22911","0.22508","0.22981","0.22093","13.00M","1.79%"
"Apr 15, 2023","0.22508","0.22733","0.22790","0.22235","16.88M","-0.99%"
"Apr 14, 2023","0.22733","0.22310","0.22845","0.22003","22.20M","1.90%"
"Apr 13, 2023","0.22309","0.22059","0.22366","0.21731","14.47M","1.13%"
"Apr 12, 2023","0.22059","0.22665","0.22715","0.21491","20.93M","-2.68%"
"Apr 11, 2023","0.22666","0.22670","0.22869","0.22407","15.72M","-0.02%"
"Apr 10, 2023","0.22670","0.22359","0.22739","0.21865","12.09M","1.39%"
"Apr 09, 2023","0.22359","0.22479","0.22654","0.21671","15.71M","-0.53%"
"Apr 08, 2023","0.22477","0.22840","0.23102","0.22320","13.31M","-1.58%"
"Apr 07, 2023","0.22837","0.22723","0.23781","0.22406","28.97M","0.50%"
"Apr 06, 2023","0.22723","0.22995","0.23811","0.22377","48.72M","-1.18%"
"Apr 05, 2023","0.22995","0.22169","0.23020","0.21948","20.15M","3.75%"
"Apr 04, 2023","0.22165","0.21607","0.22431","0.21291","27.89M","2.58%"
"Apr 03, 2023","0.21607","0.21579","0.21747","0.20760","24.47M","0.13%"
"Apr 02, 2023","0.21579","0.22354","0.22666","0.21227","14.71M","-3.47%"
"Apr 01, 2023","0.22354","0.21679","0.22517","0.21667","19.91M","3.11%"
