Date,Price,Open,High,Low,Vol.,Change %
21-Jul-23,"1,091.99","1,033.82","1,207.11","1,030.70",48.52K,5.62%
20-Jul-23,"1,033.86",991.93,"1,056.94",981.75,28.67K,4.25%
19-Jul-23,991.69,923.64,997.03,921.84,21.84K,7.37%
18-Jul-23,923.64,935.74,941.87,889.96,15.28K,-1.29%
17-Jul-23,935.74,970.77,992.94,926.65,17.10K,-3.61%
16-Jul-23,970.77,890.85,"1,010.60",888.43,39.57K,8.97%
15-Jul-23,890.85,866.81,891.59,852.82,8.49K,2.77%
14-Jul-23,866.81,923.96,955.5,846.29,18.12K,-6.18%
13-Jul-23,923.93,908.99,959.69,877.79,15.83K,1.64%
12-Jul-23,908.99,914.04,933.8,887.88,12.02K,-0.55%
11-Jul-23,914.02,916.08,944.87,908.25,13.91K,-0.22%
10-Jul-23,916.08,961.86,964.67,905.72,16.03K,-4.76%
09-Jul-23,961.83,932.96,989.03,902.07,21.07K,3.10%
08-Jul-23,932.96,942.95,988.94,927.92,15.14K,-1.06%
07-Jul-23,942.96,965.92,"1,029.93",917,35.89K,-2.41%
06-Jul-23,966.21,917.1,"1,037.88",914.65,38.46K,5.36%
05-Jul-23,917.1,980.63,"1,076.55",877,56.53K,-6.48%
04-Jul-23,980.63,975.93,"1,035.97",951.05,28.77K,0.48%
03-Jul-23,975.93,859.1,"1,060.01",848.95,38.57K,13.60%
02-Jul-23,859.1,842.04,895.03,801.21,23.12K,2.03%
01-Jul-23,841.97,831.18,858.1,802.98,18.23K,1.30%
30-Jun-23,831.17,687,855.49,683.98,53.17K,20.99%
29-Jun-23,687,676.99,721.99,673.93,8.10K,1.48%
28-Jun-23,676.99,689.15,690.04,661.94,6.89K,-1.76%
27-Jun-23,689.15,688.86,707.86,677.06,6.94K,0.17%
26-Jun-23,688,704.99,705.91,671.79,7.64K,-2.41%
25-Jun-23,704.99,681.04,758.04,677.04,12.63K,3.38%
24-Jun-23,681.93,726.96,727.85,674.93,9.15K,-6.19%
23-Jun-23,726.96,738.92,752,722.93,7.45K,-1.61%
22-Jun-23,738.82,751.93,760.94,733.04,5.85K,-1.74%
21-Jun-23,751.93,728.82,769.79,726.05,14.96K,3.17%
