"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2023","0.85034","0.86600","0.86600","0.84097","3.78M","-1.81%"
"Jul 20, 2023","0.86600","0.83845","0.92188","0.83778","10.84M","3.29%"
"Jul 19, 2023","0.83840","0.82495","0.85145","0.82120","3.53M","1.64%"
"Jul 18, 2023","0.82490","0.86296","0.86982","0.81810","4.01M","-4.41%"
"Jul 17, 2023","0.86296","0.85900","0.88476","0.84136","4.33M","0.46%"
"Jul 16, 2023","0.85900","0.88123","0.88400","0.85563","3.06M","-2.52%"
"Jul 15, 2023","0.88123","0.87700","0.89907","0.86985","3.11M","0.49%"
"Jul 14, 2023","0.87698","0.90770","0.91857","0.85209","3.82M","-3.38%"
"Jul 13, 2023","0.90770","0.82331","0.91092","0.81812","4.03M","10.25%"
"Jul 12, 2023","0.82331","0.82883","0.84482","0.81509","1.92M","-0.67%"
"Jul 11, 2023","0.82883","0.81394","0.83583","0.80897","1.99M","1.83%"
"Jul 10, 2023","0.81394","0.81222","0.83103","0.79680","1.95M","0.21%"
"Jul 09, 2023","0.81222","0.81522","0.82416","0.80713","1.32M","-0.37%"
"Jul 08, 2023","0.81522","0.79483","0.81556","0.78890","1.53M","2.57%"
"Jul 07, 2023","0.79476","0.77920","0.79848","0.77303","1.82M","2.00%"
"Jul 06, 2023","0.77920","0.80579","0.82778","0.77479","1.97M","-3.30%"
"Jul 05, 2023","0.80579","0.82573","0.83905","0.79513","2.48M","-2.41%"
"Jul 04, 2023","0.82573","0.84987","0.86270","0.81893","2.67M","-2.75%"
"Jul 03, 2023","0.84903","0.83667","0.86242","0.83034","4.20M","1.48%"
"Jul 02, 2023","0.83667","0.82688","0.83673","0.80629","1.90M","1.18%"
"Jul 01, 2023","0.82688","0.80616","0.83216","0.79798","2.75M","2.57%"
"Jun 30, 2023","0.80616","0.76890","0.84369","0.76017","3.67M","4.85%"
"Jun 29, 2023","0.76890","0.76085","0.78097","0.75603","1.87M","1.06%"
"Jun 28, 2023","0.76085","0.80618","0.80624","0.73904","2.26M","-5.62%"
"Jun 27, 2023","0.80618","0.79692","0.80997","0.79317","2.12M","1.16%"
"Jun 26, 2023","0.79692","0.82014","0.82672","0.78873","2.46M","-2.83%"
"Jun 25, 2023","0.82014","0.82502","0.85376","0.81486","2.64M","-0.58%"
"Jun 24, 2023","0.82490","0.79594","0.82792","0.79196","3.06M","3.64%"
"Jun 23, 2023","0.79594","0.76289","0.80797","0.76289","3.45M","4.33%"
"Jun 22, 2023","0.76289","0.77665","0.79787","0.76220","3.16M","-1.77%"
"Jun 21, 2023","0.77665","0.74075","0.77802","0.73790","3.96M","4.85%"
"Jun 20, 2023","0.74075","0.72791","0.74075","0.70809","2.90M","1.76%"
"Jun 19, 2023","0.72791","0.71807","0.73386","0.70818","2.28M","1.37%"
"Jun 18, 2023","0.71807","0.72800","0.74292","0.71607","1.81M","-1.36%"
"Jun 17, 2023","0.72800","0.71703","0.73680","0.71273","2.52M","1.53%"
"Jun 16, 2023","0.71703","0.72195","0.72980","0.70307","2.76M","-0.68%"
"Jun 15, 2023","0.72195","0.72699","0.76199","0.70206","6.68M","-0.69%"
"Jun 14, 2023","0.72699","0.72185","0.80006","0.71206","12.03M","0.71%"
"Jun 13, 2023","0.72185","0.72216","0.74995","0.71603","2.86M","-0.14%"
"Jun 12, 2023","0.72284","0.72013","0.72677","0.70412","2.13M","0.37%"
"Jun 11, 2023","0.72016","0.72904","0.73409","0.71116","2.19M","-1.22%"
"Jun 10, 2023","0.72904","0.82608","0.82668","0.65524","8.35M","-11.75%"
"Jun 09, 2023","0.82608","0.84168","0.84311","0.81955","1.53M","-1.85%"
"Jun 08, 2023","0.84168","0.84486","0.84964","0.83214","1.61M","-0.38%"
"Jun 07, 2023","0.84489","0.88004","0.88087","0.84167","1.95M","-3.99%"
"Jun 06, 2023","0.88004","0.85675","0.88583","0.84063","2.96M","2.72%"
"Jun 05, 2023","0.85675","0.91273","0.91419","0.82518","2.97M","-6.13%"
"Jun 04, 2023","0.91269","0.91405","0.92492","0.90782","1.18M","-0.15%"
"Jun 03, 2023","0.91405","0.90983","0.91495","0.90000","1.07M","0.46%"
"Jun 02, 2023","0.90983","0.88700","0.91048","0.87756","1.46M","2.57%"
"Jun 01, 2023","0.88703","0.90309","0.90776","0.88497","1.69M","-1.78%"
"May 31, 2023","0.90309","0.93081","0.93578","0.89115","2.34M","-2.98%"
"May 30, 2023","0.93081","0.93289","0.94784","0.92508","2.04M","-0.22%"
"May 29, 2023","0.93289","0.92586","0.94083","0.92416","2.40M","0.76%"
"May 28, 2023","0.92586","0.89489","0.93077","0.89292","2.16M","3.46%"
"May 27, 2023","0.89489","0.88172","0.89674","0.87811","1.34M","1.49%"
"May 26, 2023","0.88175","0.87112","0.88390","0.86692","2.02M","1.22%"
"May 25, 2023","0.87112","0.86978","0.87415","0.85386","1.83M","0.15%"
"May 24, 2023","0.86978","0.89505","0.89579","0.85590","2.25M","-2.82%"
