Date,Price,Open,High,Low,Vol.,Change %
21-Jul-23,0.808,0.7892,0.8398,0.7858,7.81M,2.38%
20-Jul-23,0.7892,0.7692,0.811,0.7669,4.62M,2.61%
19-Jul-23,0.7692,0.7584,0.7851,0.7552,4.23M,1.41%
18-Jul-23,0.7584,0.777,0.7841,0.7447,4.16M,-2.39%
17-Jul-23,0.777,0.767,0.789,0.7553,5.11M,1.29%
16-Jul-23,0.7671,0.8019,0.8041,0.7648,3.83M,-4.35%
15-Jul-23,0.8019,0.8064,0.8133,0.7871,4.11M,-0.54%
14-Jul-23,0.8063,0.83,0.8444,0.778,10.74M,-2.87%
13-Jul-23,0.8302,0.7584,0.8341,0.75,15.11M,9.47%
12-Jul-23,0.7584,0.7531,0.7751,0.7477,7.85M,0.70%
11-Jul-23,0.7531,0.7339,0.7539,0.7241,2.41M,2.61%
10-Jul-23,0.7339,0.721,0.7462,0.6951,4.47M,1.80%
09-Jul-23,0.721,0.7222,0.7377,0.719,2.67M,-0.17%
08-Jul-23,0.7222,0.7251,0.7351,0.707,3.01M,-0.41%
07-Jul-23,0.7252,0.7109,0.7332,0.7037,3.49M,2.01%
06-Jul-23,0.7109,0.7349,0.7701,0.7108,4.70M,-3.27%
05-Jul-23,0.7349,0.7708,0.7892,0.7251,6.69M,-4.44%
04-Jul-23,0.7691,0.7729,0.779,0.7507,5.53M,-0.38%
03-Jul-23,0.772,0.7639,0.781,0.7579,5.54M,1.06%
02-Jul-23,0.7639,0.7658,0.7699,0.7381,6.79M,-0.24%
01-Jul-23,0.7658,0.7308,0.7658,0.7168,5.09M,5.02%
30-Jun-23,0.7292,0.6981,0.739,0.676,7.40M,4.45%
29-Jun-23,0.6981,0.6979,0.716,0.69,3.27M,0.02%
28-Jun-23,0.6979,0.7453,0.7461,0.6796,5.92M,-6.35%
27-Jun-23,0.7452,0.7342,0.7559,0.7312,3.77M,1.50%
26-Jun-23,0.7342,0.7672,0.7672,0.7238,6.39M,-4.30%
25-Jun-23,0.7672,0.742,0.8782,0.7412,19.47M,3.39%
24-Jun-23,0.742,0.755,0.7699,0.7306,5.45M,-1.72%
23-Jun-23,0.755,0.7112,0.7637,0.7109,5.88M,6.16%
22-Jun-23,0.7112,0.7131,0.7371,0.7039,5.20M,-0.27%
21-Jun-23,0.7131,0.666,0.72,0.6622,5.80M,7.07%
20-Jun-23,0.666,0.6468,0.6668,0.624,3.34M,2.97%
19-Jun-23,0.6468,0.646,0.6621,0.6359,3.60M,0.12%
18-Jun-23,0.646,0.6542,0.6579,0.6408,2.54M,-1.25%
17-Jun-23,0.6542,0.6539,0.668,0.648,2.49M,0.05%
16-Jun-23,0.6539,0.6469,0.6649,0.6311,2.87M,1.08%
15-Jun-23,0.6469,0.6229,0.653,0.6199,3.91M,3.85%
14-Jun-23,0.6229,0.6402,0.6541,0.607,4.32M,-2.71%
13-Jun-23,0.6402,0.6519,0.6679,0.637,3.39M,-1.80%
12-Jun-23,0.6519,0.6472,0.6579,0.6271,4.06M,0.73%
11-Jun-23,0.6472,0.6571,0.665,0.6439,4.04M,-1.50%
10-Jun-23,0.6571,0.7463,0.747,0.5748,16.02M,-11.95%
09-Jun-23,0.7463,0.7572,0.7702,0.744,2.23M,-1.44%
08-Jun-23,0.7572,0.7538,0.7761,0.7429,2.32M,0.44%
07-Jun-23,0.7538,0.8009,0.8009,0.7502,3.46M,-5.87%
06-Jun-23,0.8009,0.7781,0.8101,0.77,2.90M,2.93%
05-Jun-23,0.7781,0.8382,0.8389,0.7471,6.98M,-7.17%
04-Jun-23,0.8382,0.836,0.85,0.8313,2.13M,0.26%
03-Jun-23,0.836,0.8401,0.8429,0.8288,2.23M,-0.49%
02-Jun-23,0.8401,0.8333,0.8571,0.8268,2.59M,0.81%
01-Jun-23,0.8333,0.8341,0.8472,0.819,2.79M,-0.10%
31-May-23,0.8341,0.8723,0.8771,0.8241,3.14M,-4.37%
30-May-23,0.8723,0.8648,0.8819,0.8593,3.17M,0.86%
29-May-23,0.8648,0.8751,0.8821,0.8553,2.97M,-1.18%
28-May-23,0.8751,0.8498,0.8841,0.8472,3.08M,2.97%
27-May-23,0.8498,0.841,0.8503,0.8369,1.86M,1.06%
26-May-23,0.8409,0.842,0.849,0.829,1.68M,-0.13%
25-May-23,0.842,0.842,0.848,0.8219,2.39M,0.00%
24-May-23,0.842,0.8701,0.8709,0.833,2.42M,-3.23%
23-May-23,0.8701,0.855,0.875,0.8531,1.99M,1.77%
22-May-23,0.855,0.851,0.8617,0.839,2.05M,0.47%
21-May-23,0.851,0.889,0.8901,0.8407,4.29M,-4.27%
20-May-23,0.889,0.9121,0.9121,0.8871,1.92M,-2.54%
19-May-23,0.9121,0.9126,0.9208,0.9069,1.61M,-0.05%
18-May-23,0.9126,0.93,0.9368,0.8957,2.15M,-1.86%
17-May-23,0.93,0.9082,0.94,0.9039,3.10M,2.39%
16-May-23,0.9082,0.9088,0.9188,0.8962,2.17M,-0.07%
15-May-23,0.9088,0.893,0.921,0.8811,2.76M,1.77%
14-May-23,0.893,0.905,0.908,0.8872,1.71M,-1.32%
13-May-23,0.905,0.9118,0.914,0.8988,1.62M,-0.75%
12-May-23,0.9118,0.8921,0.912,0.8679,3.46M,2.20%
11-May-23,0.8921,0.921,0.922,0.8761,3.80M,-3.13%
10-May-23,0.921,0.898,0.9325,0.8694,6.21M,2.56%
09-May-23,0.898,0.894,0.9048,0.8889,2.50M,0.44%
08-May-23,0.894,0.9449,0.952,0.8621,6.04M,-5.46%
07-May-23,0.9456,0.9607,0.966,0.9439,1.88M,-1.57%
06-May-23,0.9607,0.9948,0.996,0.9425,3.63M,-4.10%
05-May-23,1.0018,0.9908,1.0091,0.9816,3.72M,1.11%
04-May-23,0.9908,1.0041,1.0158,0.9879,3.04M,-1.33%
03-May-23,1.0041,0.9838,1.008,0.9568,3.80M,2.07%
02-May-23,0.9838,0.988,0.9916,0.9749,2.10M,-0.50%
