"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2023","1.9870","1.9430","2.0420","1.9220","4.40M","2.26%"
"Jul 20, 2023","1.9430","1.9370","2.0040","1.9150","3.83M","0.31%"
"Jul 19, 2023","1.9370","1.9400","1.9660","1.9260","2.08M","-0.15%"
"Jul 18, 2023","1.9400","2.0130","2.0270","1.9050","3.50M","-3.72%"
"Jul 17, 2023","2.0150","1.9790","2.0250","1.9230","6.98M","1.82%"
"Jul 16, 2023","1.9790","1.9820","2.1120","1.9660","15.32M","-0.15%"
"Jul 15, 2023","1.9820","1.9740","1.9970","1.9400","4.51M","0.41%"
"Jul 14, 2023","1.9740","2.0700","2.1400","1.9090","14.72M","-4.64%"
"Jul 13, 2023","2.0700","2.0330","2.0840","1.9750","22.99M","1.82%"
"Jul 12, 2023","2.0330","2.0970","2.0980","2.0050","19.09M","-3.05%"
"Jul 11, 2023","2.0970","2.1740","2.1870","2.0570","15.75M","-3.54%"
"Jul 10, 2023","2.1740","2.0310","2.8650","1.9770","47.85M","7.04%"
"Jul 09, 2023","2.0310","2.1390","2.1890","2.0160","10.66M","-5.05%"
"Jul 08, 2023","2.1390","1.9100","2.1920","1.9020","17.24M","11.99%"
"Jul 07, 2023","1.9100","1.9512","2.0680","1.8730","7.91M","-2.11%"
"Jul 06, 2023","1.9512","1.9210","2.2282","1.9160","25.01M","1.57%"
"Jul 05, 2023","1.9210","1.8691","1.9768","1.8202","10.05M","2.77%"
"Jul 04, 2023","1.8691","1.9189","1.9830","1.8451","4.55M","-2.60%"
"Jul 03, 2023","1.9189","1.8880","1.9776","1.8610","5.67M","1.64%"
"Jul 02, 2023","1.8880","1.9440","1.9490","1.8360","6.32M","-2.88%"
"Jul 01, 2023","1.9440","1.9750","2.0029","1.9001","5.72M","-1.67%"
"Jun 30, 2023","1.9770","1.9050","2.1359","1.8453","16.73M","3.78%"
"Jun 29, 2023","1.9050","1.9040","1.9790","1.8680","8.45M","0.05%"
"Jun 28, 2023","1.9040","2.1000","2.1229","1.8853","11.13M","-9.33%"
"Jun 27, 2023","2.1000","2.0390","2.2189","2.0260","18.99M","2.99%"
"Jun 26, 2023","2.0390","2.1270","2.2340","1.9960","22.89M","-4.14%"
"Jun 25, 2023","2.1270","2.4219","2.6062","2.0370","41.58M","-12.18%"
"Jun 24, 2023","2.4219","1.5479","2.8498","1.5411","118.48M","56.46%"
"Jun 23, 2023","1.5479","1.4760","1.5630","1.4750","2.32M","4.87%"
"Jun 22, 2023","1.4760","1.5070","1.5530","1.4690","2.33M","-2.05%"
"Jun 21, 2023","1.5070","1.4410","1.5280","1.4350","2.89M","4.58%"
"Jun 20, 2023","1.4410","1.4020","1.4460","1.3670","2.05M","2.78%"
"Jun 19, 2023","1.4020","1.3810","1.4078","1.3711","1.22M","1.52%"
"Jun 18, 2023","1.3810","1.3930","1.4130","1.3730","1.12M","-0.86%"
"Jun 17, 2023","1.3930","1.3820","1.4289","1.3790","1.33M","0.80%"
