"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21, 2023","31.44","31.17","31.96","30.96","160.82K","0.92%"
"Jul 20, 2023","31.15","31.30","32.12","30.54","201.16K","-0.50%"
"Jul 19, 2023","31.31","31.22","31.82","30.89","116.38K","0.26%"
"Jul 18, 2023","31.22","32.43","32.91","30.68","169.50K","-3.73%"
"Jul 17, 2023","32.43","30.81","32.51","30.34","227.68K","5.29%"
"Jul 16, 2023","30.81","31.28","31.59","30.64","112.20K","-1.51%"
"Jul 15, 2023","31.28","31.86","32.26","30.98","142.39K","-1.83%"
"Jul 14, 2023","31.86","32.87","33.59","30.72","265.76K","-3.08%"
"Jul 13, 2023","32.87","29.22","33.02","28.90","332.47K","12.50%"
"Jul 12, 2023","29.22","28.94","29.72","28.48","144.15K","0.96%"
"Jul 11, 2023","28.94","28.91","29.22","28.44","110.75K","0.13%"
"Jul 10, 2023","28.91","28.54","29.50","27.74","197.74K","1.29%"
"Jul 09, 2023","28.54","28.78","29.08","28.40","104.60K","-0.86%"
"Jul 08, 2023","28.78","29.58","29.77","27.87","251.42K","-2.69%"
"Jul 07, 2023","29.58","30.40","31.45","29.21","316.06K","-2.77%"
"Jul 06, 2023","30.42","31.78","33.33","30.40","224.23K","-4.26%"
"Jul 05, 2023","31.78","33.14","34.31","31.33","302.19K","-4.12%"
"Jul 04, 2023","33.14","33.24","33.90","32.45","167.12K","-0.32%"
"Jul 03, 2023","33.24","32.79","34.10","32.61","244.86K","1.39%"
"Jul 02, 2023","32.79","34.04","34.11","32.27","169.98K","-3.66%"
"Jul 01, 2023","34.04","33.83","34.69","33.10","329.10K","0.66%"
"Jun 30, 2023","33.81","29.61","34.67","29.59","748.51K","14.18%"
"Jun 29, 2023","29.61","28.88","30.61","28.88","198.28K","2.53%"
"Jun 28, 2023","28.88","30.27","30.28","27.94","207.31K","-4.57%"
"Jun 27, 2023","30.27","30.30","30.82","29.81","161.62K","-0.12%"
"Jun 26, 2023","30.30","30.51","32.06","29.69","271.49K","-0.66%"
"Jun 25, 2023","30.51","29.40","31.26","29.31","239.20K","3.78%"
"Jun 24, 2023","29.40","28.73","29.66","28.22","202.20K","2.32%"
"Jun 23, 2023","28.73","26.16","29.97","26.13","340.56K","9.82%"
"Jun 22, 2023","26.16","27.33","28.08","26.14","220.12K","-4.27%"
"Jun 21, 2023","27.33","26.42","27.68","26.32","258.21K","3.45%"
"Jun 20, 2023","26.42","26.25","26.74","25.78","249.13K","0.64%"
"Jun 19, 2023","26.25","25.77","26.67","25.61","136.54K","1.87%"
"Jun 18, 2023","25.77","25.56","26.51","25.40","128.69K","0.83%"
"Jun 17, 2023","25.56","25.24","26.28","25.12","133.05K","1.24%"
